Country,CieMedia,CieDesvio
B-S-J-Z (China),590,83
Singapore,551,97
Macao (China),544,83
Estonia,530,88
Japan,529,92
Finland,522,96
Korea,519,98
Canada,518,96
Hong Kong (China),517,86
Chinese Taipei,516,99
Poland,511,92
New Zealand,508,102
Slovenia,507,88
United Kingdom,505,99
Netherlands,503,104
Germany,503,103
Australia,503,101
United States,502,99
Sweden,499,98
Belgium,499,99
Czech Republic,497,94
Ireland,496,88
Switzerland,495,97
France,493,96
Denmark,493,91
Portugal,492,92
Norway,490,98
Austria,490,96
Latvia,487,84
Spain,483,89
Lithuania,482,90
Hungary,481,94
Russia,478,84
Luxembourg,477,98
Iceland,475,91
Croatia,472,90
Belarus,471,85
Ukraine,469,91
Turkey,468,84
Italy,468,90
Slovak Republic,464,96
Israel,462,111
Malta,457,107
Greece,452,86
Chile,444,83
Serbia,440,92
Cyprus,439,93
Malaysia,438,77
United Arab Emirates,434,103
Brunei Darussalam,431,96
Jordan,429,88
Moldova,428,89
Thailand,426,82
Uruguay,426,87
Romania,426,90
Bulgaria,424,95
Mexico,419,74
Qatar,419,103
Albania,417,74
Costa Rica,416,73
Montenegro,415,81
Colombia,413,82
North Macedonia,413,92
Peru,404,80
Argentina,404,90
Brazil,404,90
Bosnia and Herzegovina,398,77
Baku (Azerbaijan),398,74
Kazakhstan,397,76
Indonesia,396,69
Saudi Arabia,386,79
Lebanon,384,95
Georgia,383,81
Morocco,377,67
Kosovo,365,65
Panama,365,85
Philippines,357,75
Dominican Republic,336,71
