País/Economia, Média – Ciências, Média Matemática
Albânia,437,417
Argentina,379,404
Austrália,491,503
Áustria,499,490
B-S-J-Z (China),591,590
"Baku, Azerbaijão)",420,398
Bielo-Rússia,472,471
Bélgica,508,499
Bósnia e Herzegovina,406,398
Brasil,384,404
Brunei Darussalam,430,431
Bulgária,436,424
Canadá,512,518
Chile,417,444
Taipei Chinês,531,516
Colômbia,391,413
Costa Rica,402,416
Croácia,464,472
Chipre,451,439
República Checa,499,497
Dinamarca,509,493
República Dominicana,325,336
Estônia,523,530
Finlândia,507,522
França,495,493
Georgia,398,383
Alemanha,500,503
Grécia,451,452
Hong Kong (China),551,517
Hungria,481,481
Islândia,495,475
Indonésia,379,396
Irlanda,500,496
Israel,463,462
Itália,487,468
Japão,527,529
Jordânia,400,429
Cazaquistão,423,397
Coréia,526,519
Kosovo,366,365
Letônia,496,487
Líbano,393,384
Lituânia,481,482
Luxemburgo,483,477
Macau (China),558,544
Malásia,440,438
Malta,472,457
México,409,419
Moldova,421,428
Montenegro,430,415
Marrocos,368,377
Holanda,519,503
Nova Zelândia,494,508
Macedônia do Norte,394,413
Noruega,501,490
Panamá,353,365
Peru,400,404
Filipinas,353,357
Polônia,516,511
Portugal,492,492
Catar,414,419
Romênia,430,426
Rússia,488,478
Arábia Saudita,373,386
Sérvia,448,440
Cingapura,569,551
República Eslovaca,486,464
Eslovênia,509,507
Espanha,481,483
Suécia,502,499
Suíça,515,495
Tailândia,419,426
Turquia,454,468
Ucrânia,453,469
Emirados Árabes Unidos,435,434
Reino Unido,502,505
Estados Unidos,478,502
Uruguai,418,426
