,País/Economia,Nota Média Em Ciências,Nota Média Em Matemática,CNT
4,B-S-J-Z (China),591,590,CHN
65,Cingapura,569,551,SGP
44,Macau (China),558,544,MAC
28,Hong Kong (China),551,517,HKG
14,Taipei Chinês,531,516,TAP
35,Japão,527,529,JPN
38,Coréia,526,519,KOR
22,Estônia,523,530,EST
51,Holanda,519,503,NLD
58,Polônia,516,511,POL
70,Suíça,515,495,CHE
12,Canadá,512,518,CAN
20,Dinamarca,509,493,DNK
67,Eslovênia,509,507,SVN
7,Bélgica,508,499,BEL
23,Finlândia,507,522,FIN
69,Suécia,502,499,SWE
75,Reino Unido,502,505,GBR
54,Noruega,501,490,NOR
26,Alemanha,500,503,DEU
32,Irlanda,500,496,IRL
3,Áustria,499,490,AUT
19,República Checa,499,497,CZE
40,Letônia,496,487,LVA
24,França,495,493,FRA
30,Islândia,495,475,ISL
52,Nova Zelândia,494,508,NZL
59,Portugal,492,492,PRT
2,Austrália,491,503,AUS
62,Rússia,488,478,RUS
34,Itália,487,468,ITA
66,República Eslovaca,486,464,SVK
43,Luxemburgo,483,477,LUX
29,Hungria,481,481,HUN
42,Lituânia,481,482,LTU
68,Espanha,481,483,ESP
76,Estados Unidos,478,502,USA
6,Bielo-Rússia,472,471,BLR
46,Malta,472,457,MLT
17,Croácia,464,472,HRV
33,Israel,463,462,ISR
72,Turquia,454,468,TUR
73,Ucrânia,453,469,UKR
18,Chipre,451,439,QCY
27,Grécia,451,452,GRC
64,Sérvia,448,440,SRB
45,Malásia,440,438,MYS
0,Albânia,437,417,ALB
11,Bulgária,436,424,BGR
74,Emirados Árabes Unidos,435,434,ARE
10,Brunei Darussalam,430,431,BRN
49,Montenegro,430,415,MNE
61,Romênia,430,426,ROU
37,Cazaquistão,423,397,KAZ
48,Moldova,421,428,MDA
5,"Baku, Azerbaijão)",420,398,AZE
71,Tailândia,419,426,THA
77,Uruguai,418,426,URY
13,Chile,417,444,CHL
60,Catar,414,419,QAT
47,México,409,419,MEX
8,Bósnia e Herzegovina,406,398,BIH
16,Costa Rica,402,416,CRI
36,Jordânia,400,429,JOR
56,Peru,400,404,PER
25,Georgia,398,383,GEO
53,Macedônia do Norte,394,413,MKD
41,Líbano,393,384,LBN
15,Colômbia,391,413,COL
9,Brasil,384,404,BRA
1,Argentina,379,404,ARG
31,Indonésia,379,396,IDN
63,Arábia Saudita,373,386,SAU
50,Marrocos,368,377,MAR
39,Kosovo,366,365,KSV
55,Panamá,353,365,PAN
57,Filipinas,353,357,PHL
21,República Dominicana,325,336,DOM
